description	التصنيف
اللافتة و مراجعة على ليد الاضاءه	كهرباء وإضاءة
توريد وتغيير كشاف كشاف موجه 30 وات وارم	كهرباء وإضاءة
توريد وتركيب جهاز معطر آلي للجو	صيانة عامة
توريد وتركيب حنفية لفلتر المياه	سباكة ومياه
توريد وتركيب خلاط حوض كامل	سباكة ومياه
توريد وتغيير شطاف خارجي للحمام	سباكة ومياه
صيانة وإصلاح ستارة المكتب	صيانة عامة
صيانة وإصلاح درفة الدولاب الخشبي	نجارة وأثاث
صيانة وبرمجة لوحة إنذار الحريق	أنظمة الحريق والسلامة
صيانة الدرف وإعادة تركيبها	نجارة وأثاث
توريد وتركيب صرف حوض كامل	سباكة ومياه
توريد وتركيب كشاف موفر للطاقة فيكيتور	كهرباء وإضاءة
توريد وتركيب 7 قطعة خشب الصنوبر 40 سم	نجارة وأثاث
توريد وتغيير لمبة ديكور زجاج	كهرباء وإضاءة
توريد وتغيير لمبة ديكور وارم	كهرباء وإضاءة
توريد وتغيير مفصلات للدرف	نجارة وأثاث
فك ونقل وتركيب كاميرا المراقبة	صيانة عامة
توريد وتركيب شريط ليد بروفيل بطول 2 متر	كهرباء وإضاءة
توريد وتركيب تخانة رخام بجانب الكاشير	رخام وأرضيات
توريد وتركيب فلتر مياه 5مرحلة تانك	سباكة ومياه
توريد وتركيب مسطرة كشاف موجه (2 متر)	كهرباء وإضاءة
توريد وتركيب لوح رخام بجانب الحوض(55.5×191)	سباكة ومياه
ترميم الجانب من الألواح جبسية (60×10)	دهانات وترميمات
ترميم الجانب من المخزن + الدهان	دهانات وترميمات
صيانة وإصلاح درف ومفصلات الوحدات	نجارة وأثاث
توريد وتغيير لمبة ديكور 12 وات وارم	كهرباء وإضاءة
توريد وتغيير لمبة ديكور 7 وات وارم	كهرباء وإضاءة
توريد وتغيير لمبة كاسة 7 وات وارم	كهرباء وإضاءة
توريد وتركيب قفل لباب الفرع	أبواب ونوافذ
صيانة وإصلاح باب الفرع الزجاجي	أبواب ونوافذ
صيانة وإصلاح باب منطقة الكاشير	أبواب ونوافذ
صيانة وتركيب مفصلة دولاب التخزين	نجارة وأثاث
توريد وتركيب خلاط حوض إيطالي	سباكة ومياه
توريد وتركيب دواية إضاءة ديكورية	كهرباء وإضاءة
توريد وتركيب ماكينة سيكوريت	أبواب ونوافذ
توريد وتغيير لمبة ديكور كرويه	كهرباء وإضاءة
توريد وتركيب عدد 4 ورقة باب صاج إيطالي 2.5م	أبواب ونوافذ
توريد وتركيب محول A25 لللافتة	كهرباء وإضاءة
توريد وتركيب بلاط أرضيات مقاس 60×60	رخام وأرضيات
توريد وتركيب كشاف عز العرب 22 وات	كهرباء وإضاءة
توريد وتركيب شريط ليد بقوة 240 وات	كهرباء وإضاءة
أعمال تسليك وفتح صرف الحوض	سباكة ومياه
صيانة وتنظيف شفاط التهوية	تكييف وتهوية
توريد وتركيب لوح أبلاكاش خشبي	صيانة عامة
توريد وتركيب كشاف 100 وات خارجي	كهرباء وإضاءة
توريد وتركيب كشاف 30 وات وارم على الوجه	كهرباء وإضاءة
توريد وتركيب مشترك اسمارت للصرف	سباكة ومياه
توريد وتركيب طقم عجل ترولي	ترولي ومعدات
توريد وتركيب مفصلة للترولي	نجارة وأثاث
صيانة باب السيكوريت وتعديل المفصلات	أبواب ونوافذ
صيانة درف خشب وتثبيت المفصلة	نجارة وأثاث
توريد وتركيب صرف الحوض كامل مع الملحقات	سباكة ومياه
توريد وتركيب وصله لاي خلاط (50 سم)	سباكة ومياه
أعمال تسليك خط الصرف الداخلي	سباكة ومياه
توريد وتركيب قفل باب الفرع البوبة الرئيسية	أبواب ونوافذ
توريد وتركيب قفل شباك الفرع البوبة الرئيسية	أبواب ونوافذ
صيانة وإصلاح باب فرع هايبر الجراج	أبواب ونوافذ
توريد وتركيب بولات أكريليك (سيلوزات البن) تم تغير اللون	صيانة عامة
توريد وتركيب خلاط ايطالي إضافي للحوض 2 عين	سباكة ومياه
توريد وتركيب طقم نجفة ديكورية كامل + لمبة 12 وات وارم	كهرباء وإضاءة
توريد وتركيب مقبض باب المخزن	أبواب ونوافذ
توريد وتركيب إعادة خشب (87×40)	نجارة وأثاث
توريد وتركيب درف وحدة الميزان كاونتر مع خشب الصنوبر	نجارة وأثاث
لحام الواحدة الخلفية بالكاشير	صيانة عامة
توريد وتركيب رخام درج الفرع (2.10) وزره 10 سم	نجارة وأثاث
توريد وتركيب مريات ارفف المخزن 65 متر طولي	نجارة وأثاث
توريد وتركيب كشاف 20 وات BM	كهرباء وإضاءة
توريد وتركيب كشاف 36 وات BM	كهرباء وإضاءة
توريد وتركيب بادي باب شطر كامل bptch والتربيس	أبواب ونوافذ
توريد وتركيب سوسته زمبالك باب شطر	أبواب ونوافذ
توريد خامات الترميمات والدهانات	دهانات وترميمات
أعمال كهرباء بنظام المقطوعية	كهرباء وإضاءة
